4.023605150214592E-4 BBa_C0051 BBa_B0010 BBa_B0012 BBa_I13453
1.3412017167381974E-4 BBa_K648008 BBa_K648007 BBa_K648012 BBa_B0010
1.3412017167381974E-4 BBa_J64800 BBa_B0030 BBa_C0051 BBa_B0010
1.3412017167381974E-4 BBa_K336012 BBa_B0010 BBa_B0012 BBa_R0040
1.3412017167381974E-4 BBa_B0012 BBa_I0500 BBa_B0034 BBa_C0051
2.682403433476395E-4 BBa_C0040 BBa_K177002 BBa_B0032 BBa_K145015
1.3412017167381974E-4 BBa_B0032 BBa_K177026 BBa_B0032 BBa_K177010
2.682403433476395E-4 BBa_J23113 BBa_B0034 BBa_C0012 BBa_B0010
1.3412017167381974E-4 BBa_J23078 BBa_K145014 BBa_B0010 BBa_B0012
1.3412017167381974E-4 BBa_B0012 BBa_R0040 BBa_B0030 BBa_K284032
4.023605150214592E-4 BBa_B0012 BBa_R0040 BBa_B0034 BBa_K249007
1.3412017167381974E-4 BBa_K1196011 BBa_B0010 BBa_B0012 BBa_J23101
4.023605150214592E-4 BBa_B0012 BBa_R0040 BBa_B0034 BBa_K249006
1.3412017167381974E-4 BBa_G0000 BBa_K302028 BBa_K143021 BBa_G0000
1.3412017167381974E-4 BBa_K188733 BBa_B0032 BBa_E0040 BBa_B0010
4.023605150214592E-4 BBa_B0012 BBa_R0040 BBa_B0034 BBa_K249009
4.023605150214592E-4 BBa_B0012 BBa_R0010 BBa_B0010 BBa_B0012
4.023605150214592E-4 BBa_B0012 BBa_R0040 BBa_B0034 BBa_K249008
2.682403433476395E-4 BBa_C0052 BBa_I746352 BBa_B0034 BBa_C0040
1.3412017167381974E-4 BBa_K316002 BBa_K143012 BBa_K143020 BBa_J31005
1.3412017167381974E-4 BBa_R0061 BBa_B0030 BBa_K228000 BBa_B0010
2.682403433476395E-4 BBa_K371049 BBa_K371021 BBa_K371024 BBa_K371037
1.3412017167381974E-4 BBa_B0030 BBa_K543000 BBa_B0010 BBa_B0012
1.3412017167381974E-4 BBa_J52034 BBa_K678009 BBa_K678019 BBa_K678021
1.3412017167381974E-4 BBa_K606033 BBa_B0010 BBa_B0012 BBa_K143012
1.3412017167381974E-4 BBa_J23100 BBa_B0030 BBa_C0078 BBa_B1006
5.36480686695279E-4 BBa_B0034 BBa_K195200 BBa_B0010 BBa_B0012
1.3412017167381974E-4 BBa_J23078 BBa_E0040 BBa_B0010 BBa_B0012
2.682403433476395E-4 BBa_I714030 BBa_J23008 BBa_J23009 BBa_B0010
2.682403433476395E-4 BBa_B0010 BBa_K389003 BBa_I746350 BBa_B0034
